id,breed,class_id
000bec180eb18c7604dcecc8fe0dba07,boston_bull,0
001513dfcb2ffafc82cccf4d8bbaba97,dingo,1
001cdf01b096e06d78e9e5112d419397,pekinese,2
00214f311d5d2247d5dfe4fe24b2303d,bluetick,3
002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier,5
003df8b8a8b05244b1d920bb6cf451f9,basenji,7
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound,8
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog,9
00693b8bc2470375cc744a6391d397ec,maltese_dog,11
006cc3ddb9dc1bd827479569fcdc52dc,bluetick,3
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier,12
00792e341f3c6eb33663e415d0715370,african_hunting_dog,13
007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier,14
007b8a07882822475a4ce6581e70b1f8,redbone,15
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier,16
008b1271ed1addaccf93783b39deab45,doberman,18
008ba178d6dfc1a583617470d19c1673,otterhound,19
009509be3ca7cce0ff9e37c8b09b1125,otterhound,19
0097c6242c6f3071762d9f85c3ef1b2f,bedlington_terrier,5
00a338a92e4e7bf543340dc849230e75,dingo,1
00a366d4b4a9bbb6c8a63126697b7656,golden_retriever,4
00a862390341c5be090dd72bd2bc19ef,standard_schnauzer,20
00ba244566e36e0af3d979320fd3017f,black-and-tan_coonhound,22
00ca18751837cd6a22813f8e221f7819,affenpinscher,24
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever,25
00e9ed3fab1d2032603d1a90e557976f,english_setter,27
00f34ac0a16ef43e6fd1de49a26081ce,walker_hound,10
00fa641312604199831755f96109fde7,weimaraner,28
00fda6ecca54efbac26e907be4b0b78b,giant_schnauzer,29
0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever,4
010d65bd29d246aea53d9849da142ccf,boston_bull,0
010e87fdf252645a827e37470e65e842,groenendael,30
